,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,llm,prompting,text_mod,tokens,num_words,is_sarcastic,lemmatized_words,entities,bigrams,trigrams
0,0,0,2372,Я просто в захваті від черг в поліклініці. Вони такі короткі та швидкі.,gemini,zeroshot,я просто в захваті від черг в поліклініці. вони такі короткі та швидкі.,"['я', 'просто', 'в', 'захваті', 'від', 'черг', 'в', 'поліклініці', 'вони', 'такі', 'короткі', 'та', 'швидкі']",13,1,"['я', 'просто', 'в', 'захват', 'від', 'черг', 'в', 'поліклініка', 'вони', 'такий', 'короткий', 'та', 'швидкий']",[],"[('я', 'просто'), ('просто', 'в'), ('в', 'захват'), ('захват', 'від'), ('від', 'черг'), ('черг', 'в'), ('в', 'поліклініка'), ('поліклініка', 'вони'), ('вони', 'такий'), ('такий', 'короткий'), ('короткий', 'та'), ('та', 'швидкий')]","[('я', 'просто', 'в'), ('просто', 'в', 'захват'), ('в', 'захват', 'від'), ('захват', 'від', 'черг'), ('від', 'черг', 'в'), ('черг', 'в', 'поліклініка'), ('в', 'поліклініка', 'вони'), ('поліклініка', 'вони', 'такий'), ('вони', 'такий', 'короткий'), ('такий', 'короткий', 'та'), ('короткий', 'та', 'швидкий')]"
1,1,1,2406,"Ти такий добрий, що аж підозріло.",gemini,zeroshot,"ти такий добрий, що аж підозріло.","['ти', 'такий', 'добрий', 'що', 'аж', 'підозріло']",6,1,"['ти', 'такий', 'добрий', 'що', 'аж', 'підозріти']",[],"[('ти', 'такий'), ('такий', 'добрий'), ('добрий', 'що'), ('що', 'аж'), ('аж', 'підозріти')]","[('ти', 'такий', 'добрий'), ('такий', 'добрий', 'що'), ('добрий', 'що', 'аж'), ('що', 'аж', 'підозріти')]"
2,2,2,2624,"Звичайно, я буду їсти цей холодний суп. Адже що таке температура порівняно з голодом?",gemini,zeroshot,"звичайно, я буду їсти цей холодний суп. адже що таке температура порівняно з голодом?","['звичайно', 'я', 'буду', 'їсти', 'цей', 'холодний', 'суп', 'адже', 'що', 'таке', 'температура', 'порівняно', 'з', 'голодом']",14,1,"['звичайно', 'я', 'бути', 'їсти', 'цей', 'холодний', 'суп', 'адже', 'що', 'такий', 'температура', 'порівняно', 'з', 'голод']",[],"[('звичайно', 'я'), ('я', 'бути'), ('бути', 'їсти'), ('їсти', 'цей'), ('цей', 'холодний'), ('холодний', 'суп'), ('суп', 'адже'), ('адже', 'що'), ('що', 'такий'), ('такий', 'температура'), ('температура', 'порівняно'), ('порівняно', 'з'), ('з', 'голод')]","[('звичайно', 'я', 'бути'), ('я', 'бути', 'їсти'), ('бути', 'їсти', 'цей'), ('їсти', 'цей', 'холодний'), ('цей', 'холодний', 'суп'), ('холодний', 'суп', 'адже'), ('суп', 'адже', 'що'), ('адже', 'що', 'такий'), ('що', 'такий', 'температура'), ('такий', 'температура', 'порівняно'), ('температура', 'порівняно', 'з'), ('порівняно', 'з', 'голод')]"
3,3,3,2084,"Звісно, я вірю політикам. Вони ж ніколи не брешуть.",gemini,zeroshot,"звісно, я вірю політикам. вони ж ніколи не брешуть.","['звісно', 'я', 'вірю', 'політикам', 'вони', 'ж', 'ніколи', 'не', 'брешуть']",9,1,"['звісно', 'я', 'віріти', 'політика', 'вони', 'ж', 'ніколи', 'не', 'брехати']",[],"[('звісно', 'я'), ('я', 'віріти'), ('віріти', 'політика'), ('політика', 'вони'), ('вони', 'ж'), ('ж', 'ніколи'), ('ніколи', 'не'), ('не', 'брехати')]","[('звісно', 'я', 'віріти'), ('я', 'віріти', 'політика'), ('віріти', 'політика', 'вони'), ('політика', 'вони', 'ж'), ('вони', 'ж', 'ніколи'), ('ж', 'ніколи', 'не'), ('ніколи', 'не', 'брехати')]"
4,4,4,2933,"Я просто обожнюю, коли мені кажуть: ""Ти змінився"". Це так мотивує мене змінитися ще більше.",gemini,zeroshot,"я просто обожнюю, коли мені кажуть: ""ти змінився"". це так мотивує мене змінитися ще більше.","['я', 'просто', 'обожнюю', 'коли', 'мені', 'кажуть', 'ти', 'змінився', 'це', 'так', 'мотивує', 'мене', 'змінитися', 'ще', 'більше']",15,1,"['я', 'просто', 'обожнювати', 'коли', 'я', 'казати', 'ти', 'змінитися', 'це', 'так', 'мотивувати', 'я', 'змінитися', 'ще', 'більше']",[],"[('я', 'просто'), ('просто', 'обожнювати'), ('обожнювати', 'коли'), ('коли', 'я'), ('я', 'казати'), ('казати', 'ти'), ('ти', 'змінитися'), ('змінитися', 'це'), ('це', 'так'), ('так', 'мотивувати'), ('мотивувати', 'я'), ('я', 'змінитися'), ('змінитися', 'ще'), ('ще', 'більше')]","[('я', 'просто', 'обожнювати'), ('просто', 'обожнювати', 'коли'), ('обожнювати', 'коли', 'я'), ('коли', 'я', 'казати'), ('я', 'казати', 'ти'), ('казати', 'ти', 'змінитися'), ('ти', 'змінитися', 'це'), ('змінитися', 'це', 'так'), ('це', 'так', 'мотивувати'), ('так', 'мотивувати', 'я'), ('мотивувати', 'я', 'змінитися'), ('я', 'змінитися', 'ще'), ('змінитися', 'ще', 'більше')]"
5,5,5,2039,Я просто обожнюю стояти в заторах. Це так розслабляє і заспокоює.,gemini,zeroshot,я просто обожнюю стояти в заторах. це так розслабляє і заспокоює.,"['я', 'просто', 'обожнюю', 'стояти', 'в', 'заторах', 'це', 'так', 'розслабляє', 'і', 'заспокоює']",11,1,"['я', 'просто', 'обожнювати', 'стояти', 'в', 'затори', 'це', 'так', 'розслабляти', 'і', 'заспокоювати']",[],"[('я', 'просто'), ('просто', 'обожнювати'), ('обожнювати', 'стояти'), ('стояти', 'в'), ('в', 'затори'), ('затори', 'це'), ('це', 'так'), ('так', 'розслабляти'), ('розслабляти', 'і'), ('і', 'заспокоювати')]","[('я', 'просто', 'обожнювати'), ('просто', 'обожнювати', 'стояти'), ('обожнювати', 'стояти', 'в'), ('стояти', 'в', 'затори'), ('в', 'затори', 'це'), ('затори', 'це', 'так'), ('це', 'так', 'розслабляти'), ('так', 'розслабляти', 'і'), ('розслабляти', 'і', 'заспокоювати')]"
6,6,6,2676,"З радістю погоджуюсь на будь-яку авантюру. Особливо, коли вона пов'язана з ризиком для життя.",gemini,zeroshot,"з радістю погоджуюсь на будь-яку авантюру. особливо, коли вона пов'язана з ризиком для життя.","['з', 'радістю', 'погоджуюсь', 'на', 'будь', 'яку', 'авантюру', 'особливо', 'коли', 'вона', ""пов'язана"", 'з', 'ризиком', 'для', 'життя']",15,1,"['з', 'радість', 'погоджуватися', 'на', 'бути', 'який', 'авантюра', 'особливо', 'коли', 'вона', 'пов’язаний', 'з', 'ризик', 'для', 'життя']",[],"[('з', 'радість'), ('радість', 'погоджуватися'), ('погоджуватися', 'на'), ('на', 'бути'), ('бути', 'який'), ('який', 'авантюра'), ('авантюра', 'особливо'), ('особливо', 'коли'), ('коли', 'вона'), ('вона', 'пов’язаний'), ('пов’язаний', 'з'), ('з', 'ризик'), ('ризик', 'для'), ('для', 'життя')]","[('з', 'радість', 'погоджуватися'), ('радість', 'погоджуватися', 'на'), ('погоджуватися', 'на', 'бути'), ('на', 'бути', 'який'), ('бути', 'який', 'авантюра'), ('який', 'авантюра', 'особливо'), ('авантюра', 'особливо', 'коли'), ('особливо', 'коли', 'вона'), ('коли', 'вона', 'пов’язаний'), ('вона', 'пов’язаний', 'з'), ('пов’язаний', 'з', 'ризик'), ('з', 'ризик', 'для'), ('ризик', 'для', 'життя')]"
7,7,7,2188,Я просто в захваті від твого співу! Навіть собаки в окрузі почали вити.,gemini,zeroshot,я просто в захваті від твого співу! навіть собаки в окрузі почали вити.,"['я', 'просто', 'в', 'захваті', 'від', 'твого', 'співу', 'навіть', 'собаки', 'в', 'окрузі', 'почали', 'вити']",13,1,"['я', 'просто', 'в', 'захват', 'від', 'твій', 'спів', 'навіть', 'собака', 'в', 'округ', 'почати', 'вити']",[],"[('я', 'просто'), ('просто', 'в'), ('в', 'захват'), ('захват', 'від'), ('від', 'твій'), ('твій', 'спів'), ('спів', 'навіть'), ('навіть', 'собака'), ('собака', 'в'), ('в', 'округ'), ('округ', 'почати'), ('почати', 'вити')]","[('я', 'просто', 'в'), ('просто', 'в', 'захват'), ('в', 'захват', 'від'), ('захват', 'від', 'твій'), ('від', 'твій', 'спів'), ('твій', 'спів', 'навіть'), ('спів', 'навіть', 'собака'), ('навіть', 'собака', 'в'), ('собака', 'в', 'округ'), ('в', 'округ', 'почати'), ('округ', 'почати', 'вити')]"
8,8,8,2828,"Я завжди готовий до несподіванок. Ну, майже готовий.",gemini,zeroshot,"я завжди готовий до несподіванок. ну, майже готовий.","['я', 'завжди', 'готовий', 'до', 'несподіванок', 'ну', 'майже', 'готовий']",8,1,"['я', 'завжди', 'готовий', 'до', 'несподіванок', 'ну', 'майже', 'готовий']",[],"[('я', 'завжди'), ('завжди', 'готовий'), ('готовий', 'до'), ('до', 'несподіванок'), ('несподіванок', 'ну'), ('ну', 'майже'), ('майже', 'готовий')]","[('я', 'завжди', 'готовий'), ('завжди', 'готовий', 'до'), ('готовий', 'до', 'несподіванок'), ('до', 'несподіванок', 'ну'), ('несподіванок', 'ну', 'майже'), ('ну', 'майже', 'готовий')]"
9,9,9,2805,Я так скучив за цими пробками в годину пік!,gemini,zeroshot,я так скучив за цими пробками в годину пік!,"['я', 'так', 'скучив', 'за', 'цими', 'пробками', 'в', 'годину', 'пік']",9,1,"['я', 'так', 'скучити', 'за', 'цей', 'пробка', 'в', 'година', 'пік']",[],"[('я', 'так'), ('так', 'скучити'), ('скучити', 'за'), ('за', 'цей'), ('цей', 'пробка'), ('пробка', 'в'), ('в', 'година'), ('година', 'пік')]","[('я', 'так', 'скучити'), ('так', 'скучити', 'за'), ('скучити', 'за', 'цей'), ('за', 'цей', 'пробка'), ('цей', 'пробка', 'в'), ('пробка', 'в', 'година'), ('в', 'година', 'пік')]"
