,Unnamed: 0.1,Unnamed: 0,is_sarcastic,text,source,text_mod,tokenized,tokenized_cleaned,lemmatized,tokens,num_words
4546,4546,8341,1,"Тю, подумаєш - ти здохнеш🤷
То значить ти слабий, такими дірки не заткнеш на фронті... Мені за тебе, кволого такого, премії всеодно не дали б 🤡",Telegram,"тю, подумаєш - ти здохнеш🤷
то значить ти слабий, такими дірки не заткнеш на фронті... мені за тебе, кволого такого, премії всеодно не дали б 🤡","['тю', ',', 'подумаєш', '-', 'ти', 'здохнеш', '🤷', 'то', 'значить', 'ти', 'слабий', ',', 'такими', 'дірки', 'не', 'заткнеш', 'на', 'фронті', '...', 'мені', 'за', 'тебе', ',', 'кволого', 'такого', ',', 'премії', 'всеодно', 'не', 'дали', 'б', '🤡']",тю подумаєш ти здохнеш 🤷 то значить ти слабий такими дірки не заткнеш на фронті мені за тебе кволого такого премії всеодно не дали б 🤡,"['тю', 'подумати', 'ти', 'здохнути', '🤷', 'то', 'значити', 'ти', 'слабий', 'такий', 'дірка', 'не', 'заткнути', 'на', 'фронт', 'я', 'за', 'ти', 'кволий', 'такий', 'премія', 'всеодно', 'не', 'дати', 'б', '🤡']","['тю', 'подумаєш', 'ти', 'здохнеш', 'то', 'значить', 'ти', 'слабий', 'такими', 'дірки', 'не', 'заткнеш', 'на', 'фронті', 'мені', 'за', 'тебе', 'кволого', 'такого', 'премії', 'всеодно', 'не', 'дали', 'б']",24
2215,2215,2215,1,@DaregrossK ...а в Америці нема расизму бо там був чорний президент,Twitter, ...а в америці нема расизму бо там був чорний президент,"['...', 'а', 'в', 'америці', 'нема', 'расизму', 'бо', 'там', 'був', 'чорний', 'президент']", а в америці нема расизму бо там був чорний президент,"['а', 'в', 'америка', 'немати', 'расизм', 'бо', 'там', 'бути', 'чорний', 'президент']","['а', 'в', 'америці', 'нема', 'расизму', 'бо', 'там', 'був', 'чорний', 'президент']",10
3280,3280,3280,1,"Видно по тому що зє ждем вже не першу годину ,то лозунг- ""нада просто пєрєстать стрєлять ""більше не надихає...",Twitter,"видно по тому що зє ждем вже не першу годину ,то лозунг- ""нада просто пєрєстать стрєлять ""більше не надихає...","['видно', 'по', 'тому', 'що', 'зє', 'ждем', 'вже', 'не', 'першу', 'годину', ',', 'то', 'лозунг', '-', '""', 'нада', 'просто', 'пєрєстать', 'стрєлять', '""', 'більше', 'не', 'надихає', '...']","видно по тому що зє ждем вже не першу годину то лозунг "" нада просто пєрєстать стрєлять "" більше не надихає ","['видно', 'по', 'те', 'що', 'зє', 'ждем', 'вже', 'не', 'перший', 'година', 'то', 'лозунг', '""', 'нада', 'просто', 'пєрєстать', 'стрєліти', '""', 'більше', 'не', 'надихати']","['видно', 'по', 'тому', 'що', 'зє', 'ждем', 'вже', 'не', 'першу', 'годину', 'то', 'лозунг', 'нада', 'просто', 'пєрєстать', 'стрєлять', 'більше', 'не', 'надихає']",19
2749,2749,2749,1,@publeecist Взвод це дохуя? Більше чим батальйон?,Twitter, взвод це дохуя? більше чим батальйон?,"['взвод', 'це', 'дохуя', '?', 'більше', 'чим', 'батальйон', '?']",взвод це дохуя ? більше чим батальйон ?,"['взвод', 'це', 'дохуяти', '?', 'більше', 'що', 'батальйон', '?']","['взвод', 'це', 'дохуя', 'більше', 'чим', 'батальйон']",6
1543,1543,1543,1,"- А як це ""проєкт підозри""?
- Ну, це коли ти не впевнений, що підозрювати за це можна, але вже сказали, що треба, щоб хоч якось попідозрювали, бо чого це він досі непідозрюваний ходе.

",Twitter,"- а як це ""проєкт підозри""?
- ну, це коли ти не впевнений, що підозрювати за це можна, але вже сказали, що треба, щоб хоч якось попідозрювали, бо чого це він досі непідозрюваний ходе.

","['-', 'а', 'як', 'це', '""', 'проєкт', 'підозри', '""', '?', '-', 'ну', ',', 'це', 'коли', 'ти', 'не', 'впевнений', ',', 'що', 'підозрювати', 'за', 'це', 'можна', ',', 'але', 'вже', 'сказали', ',', 'що', 'треба', ',', 'щоб', 'хоч', 'якось', 'попідозрювали', ',', 'бо', 'чого', 'це', 'він', 'досі', 'непідозрюваний', 'ходе', '.']"," а як це "" проєкт підозри "" ? ну це коли ти не впевнений що підозрювати за це можна але вже сказали що треба щоб хоч якось попідозрювали бо чого це він досі непідозрюваний ходе ","['а', 'як', 'це', '""', 'проєкт', 'підозра', '""', '?', 'ну', 'це', 'коли', 'ти', 'не', 'впевнений', 'що', 'підозрювати', 'за', 'це', 'можна', 'але', 'вже', 'сказати', 'що', 'треба', 'щоб', 'хоч', 'якось', 'попідозрювати', 'бо', 'що', 'це', 'він', 'досі', 'непідозрюваний', 'ходе']","['а', 'як', 'це', 'проєкт', 'підозри', 'ну', 'це', 'коли', 'ти', 'не', 'впевнений', 'що', 'підозрювати', 'за', 'це', 'можна', 'але', 'вже', 'сказали', 'що', 'треба', 'щоб', 'хоч', 'якось', 'попідозрювали', 'бо', 'чого', 'це', 'він', 'досі', 'непідозрюваний', 'ходе']",32
1457,1457,1457,1,"@ruslan_j5 @XrustyaVnamusti а може він взагалі себе просто накрутив про нежить? бо писали ж, що нежить не може бути ",Twitter,"  а може він взагалі себе просто накрутив про нежить? бо писали ж, що нежить не може бути ","['а', 'може', 'він', 'взагалі', 'себе', 'просто', 'накрутив', 'про', 'нежить', '?', 'бо', 'писали', 'ж', ',', 'що', 'нежить', 'не', 'може', 'бути']",а може він взагалі себе просто накрутив про нежить ? бо писали ж що нежить не може бути,"['а', 'може', 'він', 'взагалі', 'себе', 'просто', 'накрутити', 'про', 'нежить', '?', 'бо', 'писати', 'ж', 'що', 'нежить', 'не', 'могти', 'бути']","['а', 'може', 'він', 'взагалі', 'себе', 'просто', 'накрутив', 'про', 'нежить', 'бо', 'писали', 'ж', 'що', 'нежить', 'не', 'може', 'бути']",17
2606,2606,2606,1,"@dalsoskz омг! ніколи не подумала б що ти шипериш мінсонів!
",Twitter," омг! ніколи не подумала б що ти шипериш мінсонів!
","['омг', '!', 'ніколи', 'не', 'подумала', 'б', 'що', 'ти', 'шипериш', 'мінсонів', '!']",омг ! ніколи не подумала б що ти шипериш мінсонів !,"['омг', '!', 'ніколи', 'не', 'подумати', 'б', 'що', 'ти', 'шиперити', 'мінсон', '!']","['омг', 'ніколи', 'не', 'подумала', 'б', 'що', 'ти', 'шипериш', 'мінсонів']",9
4160,4160,7955,1,Нафіга десь працювати якщо можна штурмовати посадки?,Telegram,нафіга десь працювати якщо можна штурмовати посадки?,"['нафіга', 'десь', 'працювати', 'якщо', 'можна', 'штурмовати', 'посадки', '?']",нафіга десь працювати якщо можна штурмовати посадки ?,"['нафіга', 'десь', 'працювати', 'якщо', 'можна', 'штурмовати', 'посадок', '?']","['нафіга', 'десь', 'працювати', 'якщо', 'можна', 'штурмовати', 'посадки']",7
564,564,564,1,Його боротьба з ботами 😔💪💪💪,Twitter,його боротьба з ботами 😔💪💪💪,"['його', 'боротьба', 'з', 'ботами', '😔', '💪', '💪', '💪']",його боротьба з ботами 😔 💪 💪 💪,"['його', 'боротьба', 'з', 'бот', '😔', '💪', '💪', '💪']","['його', 'боротьба', 'з', 'ботами']",4
441,441,441,1,"Зустрічаю новий день на зупинці маршрутки. Під дощем. Да ще й під Placebo. Всьо ахуєнно, чьо. ",Twitter,"зустрічаю новий день на зупинці маршрутки. під дощем. да ще й під . всьо ахуєнно, чьо. ","['зустрічаю', 'новий', 'день', 'на', 'зупинці', 'маршрутки', '.', 'під', 'дощем', '.', 'да', 'ще', 'й', 'під', '.', 'всьо', 'ахуєнно', ',', 'чьо', '.']",зустрічаю новий день на зупинці маршрутки під дощем да ще й під всьо ахуєнно чьо ,"['зустрічати', 'новий', 'день', 'на', 'зупинка', 'маршруток', 'під', 'дощ', 'да', 'ще', 'й', 'під', 'всьо', 'ахуєнно', 'чьо']","['зустрічаю', 'новий', 'день', 'на', 'зупинці', 'маршрутки', 'під', 'дощем', 'да', 'ще', 'й', 'під', 'всьо', 'ахуєнно', 'чьо']",15
