ConvThread,MessageID,Date,Message,UserID
0,2842213,2024-01-10,Тепер зрозуміло де адміни будуть тратити гроші які їм дав грінкевич (сарказм),6242005855
1,2838348,2024-01-09,Це в рашці. У нас немає царя. Чатом не помилився ??,6505741179
1,2838349,2024-01-09,"в сарказм складно, як розумію. Ти пабліком не помилився?)",522695101
1,2838350,2024-01-09,В сраку такий сарказм.,6505741179
2,2837949,2024-01-08,а што он. царь хароший - баярє плохіє,522695101
2,2838348,2024-01-09,Це в рашці. У нас немає царя. Чатом не помилився ??,6505741179
2,2838349,2024-01-09,"в сарказм складно, як розумію. Ти пабліком не помилився?)",522695101
3,2837836,2024-01-08,"А хто в раді був проти закону про продаж сільськогосподарської землі? Тільки Вона! 
Її не зламали переслідування та вʼязниця!",5860726452
3,2837855,2024-01-08,А Ви читали той законопроект взагалі? 🧐,1068816554
3,2837857,2024-01-08,"геа штефан там практикує так звані ""тролінг"" та ""сарказм""",113876040
4,2835241,2024-01-07,треба збільшити податки і відправити фопів на фронт,204004392
4,2835244,2024-01-07,Не хочеш стати головою мінфіну?,6827636970
4,2835247,2024-01-07,"Вважаю це рандомний чел з чату впорається краще за Гєтьманцева, без сарказму",1187944323
5,2834007,2024-01-06,Нехай береже вас Господь 🙏🙏🙏 Дякую Вам за творчість і значущу громадянську позицію ❤️❤️❤️ Україна обов'язково переможе🇺🇦🇺🇦🇺🇦🇺🇦,395262895
5,2834056,2024-01-06,Це ти до мене чи до Кварталу звертаєшся?,5505179809
5,2834060,2024-01-06,,395262895
6,2833758,2024-01-06,Бо ми джерело їхніх проблем /s,404272060
6,2833768,2024-01-06,Яких?,5120351250
6,2833770,2024-01-06,"Та усіх. Там у мене була поміточка, що це сарказм",404272060
7,2833342,2024-01-06,"Не який, а яка! І взагалі, какая разніца..",384005503
7,2833344,2024-01-06,"Сів на московський танк і гибани звідси, якщо какая разніца, бидло неосвічене",5860726452
7,2833435,2024-01-06,"Емммм… з гумором у Вас все погано, як я бачу і про сарказм ви не чули, так?",384005503
8,2833040,2024-01-05,"Боооже, але бідненькі пздц",892934609
8,2833041,2024-01-05,Шо¿😆,1678830125
8,2833043,2024-01-05,Чув про сарказм?,892934609
9,2832834,2024-01-05,Вмієш в сарказм,404272060
10,2832380,2024-01-05,"Бля, це дуже іронічно 

- тіпи шо служать: блін в армії потрібні зміни, дохуя совка і тупняку
- суспільство: так, все вірно!!!

- волонтери: блін в армії потрібні зміни, дохуя совка і тупняку 
- суспільство: так, все вірно!!!

-Та навіть прості люди: блін в армії потрібні зміни, дохуя совка і тупняку 
- суспільство: так, все вірно!!!

- Безугла: блін в армії потрібні зміни, дохуя совка і тупняку 
- суспільство: ОТ ТУПА ЛЯРВА, СПАЛИТИ ЇЇ!!!!

😐😐😐🤷‍♂🤷‍♂🤷‍♂

PS: в не треба писати шо вона наїзжала особисто на Залужного (який судячи за все святий і ходить по воді)
Проблеми в армії це і його пряма  відповідальність",428388036
10,2832392,2024-01-05,"Критикувати владу і особливо військове командування під час війни це розхитування човна. Не можна нічого робити, треба просто воювати, після війни розберемся",6827636970
10,2832395,2024-01-05,Це сарказм?,1285891053
11,2831672,2024-01-05,"іпсо, гроші не крадуть",229114828
11,2831677,2024-01-05,Їх просто витрачають на всяку недоцільну в даний час фігню,435523450
11,2831678,2024-01-05,да то сарказм),229114828
12,2830557,2024-01-04,"Нічого собі, СБУ зробило саме те, чим воно і має займатись. Гарна робота, пошана за це без сарказму. Частіше б так.",1187944323
13,2828294,2024-01-03,"Всього 3.2? (Сарказм якщо що)
Трухніть рєзнікова, там тільки на яйцях в рази більше)",585587810
14,2827226,2024-01-02,В нас є гарпуни?,1002512817
14,2827250,2024-01-02,"Так є, але напевно не так багато як вони пишуть. Хоча похуй, вони якщо захочуть то і ту-160 в Прилуках ""знищуть""",5788565424
14,2827259,2024-01-02,"То був сарказм, бо в нас їх і небуло, але з їх піздабольством я згоден",1002512817
15,2826686,2024-01-02,"Пане, якщо ви на нулі, моя вам безмежна повага (без сарказму чи чогось такого), але це ж очевидно, шо якщо навіть повальна мобілізація і буде і навіть якщо загрібати будуть не в буси, а в ешелони – це не для того, аби вас поміняти. Це є лише хуйовим маркером того, що втрат дуже багато і треба закривати дірки в списках",224879474
16,2822990,2023-12-31,"так наче шахеди летять, звідки 15 кинджалів ;)",382421647
16,2822991,2023-12-31,загальна стата,1379765009
16,2822993,2023-12-31,то був сарказм,382421647
17,2818168,2023-12-29,Ого не с300 а російська?  Та там яйця сталі хтось відростив. (Табличка сарказм),395365237
18,2817148,2023-12-29,"Ля ти долбайобік, для таких притрушених ше ше весною 23 сказали шо вони ракети роблять і вони в них є і будуть в значному обсязі",477817117
18,2817153,2023-12-29,"Ти підар вонючий, сарказм навчись розуміти",239715838
18,2817169,2023-12-29,якийсь прострочений сарказм...,528312293
19,2817148,2023-12-29,"Ля ти долбайобік, для таких притрушених ше ше весною 23 сказали шо вони ракети роблять і вони в них є і будуть в значному обсязі",477817117
19,2817153,2023-12-29,"Ти підар вонючий, сарказм навчись розуміти",239715838
19,2817167,2023-12-29,"Знайшов час для сарказму про ракети, довбойоб",513905556
20,2817148,2023-12-29,"Ля ти долбайобік, для таких притрушених ше ше весною 23 сказали шо вони ракети роблять і вони в них є і будуть в значному обсязі",477817117
20,2817153,2023-12-29,"Ти підар вонючий, сарказм навчись розуміти",239715838
20,2817166,2023-12-29,"Ахуєнний сарказм, а саме вчасно",477817117
21,2817111,2023-12-29,Ракети закінчаться за два три тижні🤪,239715838
21,2817148,2023-12-29,"Ля ти долбайобік, для таких притрушених ше ше весною 23 сказали шо вони ракети роблять і вони в них є і будуть в значному обсязі",477817117
21,2817153,2023-12-29,"Ти підар вонючий, сарказм навчись розуміти",239715838
22,2817086,2023-12-29,як людина з моралю може читати мемарню,1299346854
