,Unnamed: 0,text,llm,prompting,text_mod,tokens,num_words,is_sarcastic
0,2372,Я просто в захваті від черг в поліклініці. Вони такі короткі та швидкі.,gemini,zeroshot,я просто в захваті від черг в поліклініці. вони такі короткі та швидкі.,"['я', 'просто', 'в', 'захваті', 'від', 'черг', 'в', 'поліклініці', 'вони', 'такі', 'короткі', 'та', 'швидкі']",13,1
1,2406,"Ти такий добрий, що аж підозріло.",gemini,zeroshot,"ти такий добрий, що аж підозріло.","['ти', 'такий', 'добрий', 'що', 'аж', 'підозріло']",6,1
2,2624,"Звичайно, я буду їсти цей холодний суп. Адже що таке температура порівняно з голодом?",gemini,zeroshot,"звичайно, я буду їсти цей холодний суп. адже що таке температура порівняно з голодом?","['звичайно', 'я', 'буду', 'їсти', 'цей', 'холодний', 'суп', 'адже', 'що', 'таке', 'температура', 'порівняно', 'з', 'голодом']",14,1
3,2084,"Звісно, я вірю політикам. Вони ж ніколи не брешуть.",gemini,zeroshot,"звісно, я вірю політикам. вони ж ніколи не брешуть.","['звісно', 'я', 'вірю', 'політикам', 'вони', 'ж', 'ніколи', 'не', 'брешуть']",9,1
4,2933,"Я просто обожнюю, коли мені кажуть: ""Ти змінився"". Це так мотивує мене змінитися ще більше.",gemini,zeroshot,"я просто обожнюю, коли мені кажуть: ""ти змінився"". це так мотивує мене змінитися ще більше.","['я', 'просто', 'обожнюю', 'коли', 'мені', 'кажуть', 'ти', 'змінився', 'це', 'так', 'мотивує', 'мене', 'змінитися', 'ще', 'більше']",15,1
5,2039,Я просто обожнюю стояти в заторах. Це так розслабляє і заспокоює.,gemini,zeroshot,я просто обожнюю стояти в заторах. це так розслабляє і заспокоює.,"['я', 'просто', 'обожнюю', 'стояти', 'в', 'заторах', 'це', 'так', 'розслабляє', 'і', 'заспокоює']",11,1
6,2676,"З радістю погоджуюсь на будь-яку авантюру. Особливо, коли вона пов'язана з ризиком для життя.",gemini,zeroshot,"з радістю погоджуюсь на будь-яку авантюру. особливо, коли вона пов'язана з ризиком для життя.","['з', 'радістю', 'погоджуюсь', 'на', 'будь', 'яку', 'авантюру', 'особливо', 'коли', 'вона', ""пов'язана"", 'з', 'ризиком', 'для', 'життя']",15,1
7,2188,Я просто в захваті від твого співу! Навіть собаки в окрузі почали вити.,gemini,zeroshot,я просто в захваті від твого співу! навіть собаки в окрузі почали вити.,"['я', 'просто', 'в', 'захваті', 'від', 'твого', 'співу', 'навіть', 'собаки', 'в', 'окрузі', 'почали', 'вити']",13,1
8,2828,"Я завжди готовий до несподіванок. Ну, майже готовий.",gemini,zeroshot,"я завжди готовий до несподіванок. ну, майже готовий.","['я', 'завжди', 'готовий', 'до', 'несподіванок', 'ну', 'майже', 'готовий']",8,1
9,2805,Я так скучив за цими пробками в годину пік!,gemini,zeroshot,я так скучив за цими пробками в годину пік!,"['я', 'так', 'скучив', 'за', 'цими', 'пробками', 'в', 'годину', 'пік']",9,1
10,2282,"Як чудово, що існує спам. Завдяки йому моя поштова скринька завжди переповнена важливими листами.",gemini,zeroshot,"як чудово, що існує спам. завдяки йому моя поштова скринька завжди переповнена важливими листами.","['як', 'чудово', 'що', 'існує', 'спам', 'завдяки', 'йому', 'моя', 'поштова', 'скринька', 'завжди', 'переповнена', 'важливими', 'листами']",14,1
11,2650,"Так, я завжди уважно слухаю, що мені говорять. Особливо, коли це реклама по радіо.",gemini,zeroshot,"так, я завжди уважно слухаю, що мені говорять. особливо, коли це реклама по радіо.","['так', 'я', 'завжди', 'уважно', 'слухаю', 'що', 'мені', 'говорять', 'особливо', 'коли', 'це', 'реклама', 'по', 'радіо']",14,1
12,2089,"Так, я теж вважаю, що найкращий спосіб розв'язати конфлікт – це кричати один на одного.",gemini,zeroshot,"так, я теж вважаю, що найкращий спосіб розв'язати конфлікт – це кричати один на одного.","['так', 'я', 'теж', 'вважаю', 'що', 'найкращий', 'спосіб', ""розв'язати"", 'конфлікт', 'це', 'кричати', 'один', 'на', 'одного']",14,1
13,2296,Обожнюю запізнюватися. Це допомагає тримати всіх в тонусі.,gemini,zeroshot,обожнюю запізнюватися. це допомагає тримати всіх в тонусі.,"['обожнюю', 'запізнюватися', 'це', 'допомагає', 'тримати', 'всіх', 'в', 'тонусі']",8,1
14,2214,"З нетерпінням чекаю на чергову сесію в університеті. Впевнений, що вона буде легкою та приємною.",gemini,zeroshot,"з нетерпінням чекаю на чергову сесію в університеті. впевнений, що вона буде легкою та приємною.","['з', 'нетерпінням', 'чекаю', 'на', 'чергову', 'сесію', 'в', 'університеті', 'впевнений', 'що', 'вона', 'буде', 'легкою', 'та', 'приємною']",15,1
15,2821,"Обожнюю ходити по магазинах. Особливо, коли там знижки 99%.",gemini,zeroshot,"обожнюю ходити по магазинах. особливо, коли там знижки 99%.","['обожнюю', 'ходити', 'по', 'магазинах', 'особливо', 'коли', 'там', 'знижки']",8,1
