,Unnamed: 0,text,llm,prompting,text_mod,tokens,num_words,is_sarcastic
0,4838,"Класно, знову дощ - ідеальна погода для прогулянки.",openai,zeroshot,"класно, знову дощ - ідеальна погода для прогулянки.","['класно', 'знову', 'дощ', 'ідеальна', 'погода', 'для', 'прогулянки']",7,1
1,5477,Ідеальний план – дивитися новини перед сном. Хто не хоче закінчувати день тривогою?,openai,zeroshot,ідеальний план – дивитися новини перед сном. хто не хоче закінчувати день тривогою?,"['ідеальний', 'план', 'дивитися', 'новини', 'перед', 'сном', 'хто', 'не', 'хоче', 'закінчувати', 'день', 'тривогою']",12,1
2,4729,"Ну так, я люблю стояти в черзі у банку. Супер спосіб провести день.",openai,zeroshot,"ну так, я люблю стояти в черзі у банку. супер спосіб провести день.","['ну', 'так', 'я', 'люблю', 'стояти', 'в', 'черзі', 'у', 'банку', 'супер', 'спосіб', 'провести', 'день']",13,1
3,4695,"О, чудово, ще одна програма оновлення програмного забезпечення, яка трапляється прямо тоді, коли ти маєш термінову роботу.",openai,zeroshot,"о, чудово, ще одна програма оновлення програмного забезпечення, яка трапляється прямо тоді, коли ти маєш термінову роботу.","['о', 'чудово', 'ще', 'одна', 'програма', 'оновлення', 'програмного', 'забезпечення', 'яка', 'трапляється', 'прямо', 'тоді', 'коли', 'ти', 'маєш', 'термінову', 'роботу']",17,1
4,5349,"Вау, що може бути краще? Суботній вечір із шестигодинною зустріччю на роботі!",openai,zeroshot,"вау, що може бути краще? суботній вечір із шестигодинною зустріччю на роботі!","['вау', 'що', 'може', 'бути', 'краще', 'суботній', 'вечір', 'із', 'шестигодинною', 'зустріччю', 'на', 'роботі']",12,1
5,5172,"Чудово, що ти вирішив поділитися усіма деталями свого життя в соцмережах, всім так цікаво!",openai,zeroshot,"чудово, що ти вирішив поділитися усіма деталями свого життя в соцмережах, всім так цікаво!","['чудово', 'що', 'ти', 'вирішив', 'поділитися', 'усіма', 'деталями', 'свого', 'життя', 'в', 'соцмережах', 'всім', 'так', 'цікаво']",14,1
6,5452,"О, я обожнюю, коли мій інтернет лагає посеред онлайн ігор. Це додає азарту!",openai,zeroshot,"о, я обожнюю, коли мій інтернет лагає посеред онлайн ігор. це додає азарту!","['о', 'я', 'обожнюю', 'коли', 'мій', 'інтернет', 'лагає', 'посеред', 'онлайн', 'ігор', 'це', 'додає', 'азарту']",13,1
7,5322,"Моє захоплення знає межі, коли я дивлюсь, як ти цілу годину вибираєш фільтри для одного селфі.",openai,zeroshot,"моє захоплення знає межі, коли я дивлюсь, як ти цілу годину вибираєш фільтри для одного селфі.","['моє', 'захоплення', 'знає', 'межі', 'коли', 'я', 'дивлюсь', 'як', 'ти', 'цілу', 'годину', 'вибираєш', 'фільтри', 'для', 'одного', 'селфі']",16,1
8,5142,"Лекція, яка має тільки 10 слайдів, але затратила три години мого життя. Ефективно!",openai,zeroshot,"лекція, яка має тільки 10 слайдів, але затратила три години мого життя. ефективно!","['лекція', 'яка', 'має', 'тільки', 'слайдів', 'але', 'затратила', 'три', 'години', 'мого', 'життя', 'ефективно']",12,1
9,4970,"Шестеро людей в одному чаті, і всі мовчать. Таака захоплююча розмова!",openai,zeroshot,"шестеро людей в одному чаті, і всі мовчать. таака захоплююча розмова!","['шестеро', 'людей', 'в', 'одному', 'чаті', 'і', 'всі', 'мовчать', 'таака', 'захоплююча', 'розмова']",11,1
