,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,text,llm,prompting,text_mod,tokens,num_words,is_sarcastic,lemmatized_words,entities,bigrams,trigrams
0,0,0,4838,"Класно, знову дощ - ідеальна погода для прогулянки.",openai,zeroshot,"класно, знову дощ - ідеальна погода для прогулянки.","['класно', 'знову', 'дощ', 'ідеальна', 'погода', 'для', 'прогулянки']",7,1,"['класно', 'знову', 'дощ', 'ідеальний', 'погода', 'для', 'прогулянка']",[],"[('класно', 'знову'), ('знову', 'дощ'), ('дощ', 'ідеальний'), ('ідеальний', 'погода'), ('погода', 'для'), ('для', 'прогулянка')]","[('класно', 'знову', 'дощ'), ('знову', 'дощ', 'ідеальний'), ('дощ', 'ідеальний', 'погода'), ('ідеальний', 'погода', 'для'), ('погода', 'для', 'прогулянка')]"
1,1,1,5477,Ідеальний план – дивитися новини перед сном. Хто не хоче закінчувати день тривогою?,openai,zeroshot,ідеальний план – дивитися новини перед сном. хто не хоче закінчувати день тривогою?,"['ідеальний', 'план', 'дивитися', 'новини', 'перед', 'сном', 'хто', 'не', 'хоче', 'закінчувати', 'день', 'тривогою']",12,1,"['ідеальний', 'план', 'дивитися', 'новина', 'перед', 'сон', 'хто', 'не', 'хотіти', 'закінчувати', 'день', 'тривога']",[],"[('ідеальний', 'план'), ('план', 'дивитися'), ('дивитися', 'новина'), ('новина', 'перед'), ('перед', 'сон'), ('сон', 'хто'), ('хто', 'не'), ('не', 'хотіти'), ('хотіти', 'закінчувати'), ('закінчувати', 'день'), ('день', 'тривога')]","[('ідеальний', 'план', 'дивитися'), ('план', 'дивитися', 'новина'), ('дивитися', 'новина', 'перед'), ('новина', 'перед', 'сон'), ('перед', 'сон', 'хто'), ('сон', 'хто', 'не'), ('хто', 'не', 'хотіти'), ('не', 'хотіти', 'закінчувати'), ('хотіти', 'закінчувати', 'день'), ('закінчувати', 'день', 'тривога')]"
2,2,2,4729,"Ну так, я люблю стояти в черзі у банку. Супер спосіб провести день.",openai,zeroshot,"ну так, я люблю стояти в черзі у банку. супер спосіб провести день.","['ну', 'так', 'я', 'люблю', 'стояти', 'в', 'черзі', 'у', 'банку', 'супер', 'спосіб', 'провести', 'день']",13,1,"['ну', 'так', 'я', 'любити', 'стояти', 'в', 'черга', 'у', 'банк', 'супер', 'спосіб', 'провести', 'день']",[],"[('ну', 'так'), ('так', 'я'), ('я', 'любити'), ('любити', 'стояти'), ('стояти', 'в'), ('в', 'черга'), ('черга', 'у'), ('у', 'банк'), ('банк', 'супер'), ('супер', 'спосіб'), ('спосіб', 'провести'), ('провести', 'день')]","[('ну', 'так', 'я'), ('так', 'я', 'любити'), ('я', 'любити', 'стояти'), ('любити', 'стояти', 'в'), ('стояти', 'в', 'черга'), ('в', 'черга', 'у'), ('черга', 'у', 'банк'), ('у', 'банк', 'супер'), ('банк', 'супер', 'спосіб'), ('супер', 'спосіб', 'провести'), ('спосіб', 'провести', 'день')]"
3,3,3,4695,"О, чудово, ще одна програма оновлення програмного забезпечення, яка трапляється прямо тоді, коли ти маєш термінову роботу.",openai,zeroshot,"о, чудово, ще одна програма оновлення програмного забезпечення, яка трапляється прямо тоді, коли ти маєш термінову роботу.","['о', 'чудово', 'ще', 'одна', 'програма', 'оновлення', 'програмного', 'забезпечення', 'яка', 'трапляється', 'прямо', 'тоді', 'коли', 'ти', 'маєш', 'термінову', 'роботу']",17,1,"['о', 'чудово', 'ще', 'один', 'програма', 'оновлення', 'програмний', 'забезпечення', 'який', 'траплятися', 'прямо', 'тоді', 'коли', 'ти', 'мати', 'терміновий', 'робота']",[],"[('о', 'чудово'), ('чудово', 'ще'), ('ще', 'один'), ('один', 'програма'), ('програма', 'оновлення'), ('оновлення', 'програмний'), ('програмний', 'забезпечення'), ('забезпечення', 'який'), ('який', 'траплятися'), ('траплятися', 'прямо'), ('прямо', 'тоді'), ('тоді', 'коли'), ('коли', 'ти'), ('ти', 'мати'), ('мати', 'терміновий'), ('терміновий', 'робота')]","[('о', 'чудово', 'ще'), ('чудово', 'ще', 'один'), ('ще', 'один', 'програма'), ('один', 'програма', 'оновлення'), ('програма', 'оновлення', 'програмний'), ('оновлення', 'програмний', 'забезпечення'), ('програмний', 'забезпечення', 'який'), ('забезпечення', 'який', 'траплятися'), ('який', 'траплятися', 'прямо'), ('траплятися', 'прямо', 'тоді'), ('прямо', 'тоді', 'коли'), ('тоді', 'коли', 'ти'), ('коли', 'ти', 'мати'), ('ти', 'мати', 'терміновий'), ('мати', 'терміновий', 'робота')]"
4,4,4,5349,"Вау, що може бути краще? Суботній вечір із шестигодинною зустріччю на роботі!",openai,zeroshot,"вау, що може бути краще? суботній вечір із шестигодинною зустріччю на роботі!","['вау', 'що', 'може', 'бути', 'краще', 'суботній', 'вечір', 'із', 'шестигодинною', 'зустріччю', 'на', 'роботі']",12,1,"['вати', 'що', 'могти', 'бути', 'кращий', 'суботній', 'вечір', 'із', 'шестигодинний', 'зустріч', 'на', 'робота']",[],"[('вати', 'що'), ('що', 'могти'), ('могти', 'бути'), ('бути', 'кращий'), ('кращий', 'суботній'), ('суботній', 'вечір'), ('вечір', 'із'), ('із', 'шестигодинний'), ('шестигодинний', 'зустріч'), ('зустріч', 'на'), ('на', 'робота')]","[('вати', 'що', 'могти'), ('що', 'могти', 'бути'), ('могти', 'бути', 'кращий'), ('бути', 'кращий', 'суботній'), ('кращий', 'суботній', 'вечір'), ('суботній', 'вечір', 'із'), ('вечір', 'із', 'шестигодинний'), ('із', 'шестигодинний', 'зустріч'), ('шестигодинний', 'зустріч', 'на'), ('зустріч', 'на', 'робота')]"
5,5,5,5172,"Чудово, що ти вирішив поділитися усіма деталями свого життя в соцмережах, всім так цікаво!",openai,zeroshot,"чудово, що ти вирішив поділитися усіма деталями свого життя в соцмережах, всім так цікаво!","['чудово', 'що', 'ти', 'вирішив', 'поділитися', 'усіма', 'деталями', 'свого', 'життя', 'в', 'соцмережах', 'всім', 'так', 'цікаво']",14,1,"['чудово', 'що', 'ти', 'вирішити', 'поділитися', 'увесь', 'деталь', 'свій', 'життя', 'в', 'соцмережа', 'весь', 'так', 'цікаво']",[],"[('чудово', 'що'), ('що', 'ти'), ('ти', 'вирішити'), ('вирішити', 'поділитися'), ('поділитися', 'увесь'), ('увесь', 'деталь'), ('деталь', 'свій'), ('свій', 'життя'), ('життя', 'в'), ('в', 'соцмережа'), ('соцмережа', 'весь'), ('весь', 'так'), ('так', 'цікаво')]","[('чудово', 'що', 'ти'), ('що', 'ти', 'вирішити'), ('ти', 'вирішити', 'поділитися'), ('вирішити', 'поділитися', 'увесь'), ('поділитися', 'увесь', 'деталь'), ('увесь', 'деталь', 'свій'), ('деталь', 'свій', 'життя'), ('свій', 'життя', 'в'), ('життя', 'в', 'соцмережа'), ('в', 'соцмережа', 'весь'), ('соцмережа', 'весь', 'так'), ('весь', 'так', 'цікаво')]"
6,6,6,5452,"О, я обожнюю, коли мій інтернет лагає посеред онлайн ігор. Це додає азарту!",openai,zeroshot,"о, я обожнюю, коли мій інтернет лагає посеред онлайн ігор. це додає азарту!","['о', 'я', 'обожнюю', 'коли', 'мій', 'інтернет', 'лагає', 'посеред', 'онлайн', 'ігор', 'це', 'додає', 'азарту']",13,1,"['о', 'я', 'обожнювати', 'коли', 'мій', 'інтернет', 'лагати', 'посеред', 'онлайн', 'гра', 'це', 'додавати', 'азарт']",[],"[('о', 'я'), ('я', 'обожнювати'), ('обожнювати', 'коли'), ('коли', 'мій'), ('мій', 'інтернет'), ('інтернет', 'лагати'), ('лагати', 'посеред'), ('посеред', 'онлайн'), ('онлайн', 'гра'), ('гра', 'це'), ('це', 'додавати'), ('додавати', 'азарт')]","[('о', 'я', 'обожнювати'), ('я', 'обожнювати', 'коли'), ('обожнювати', 'коли', 'мій'), ('коли', 'мій', 'інтернет'), ('мій', 'інтернет', 'лагати'), ('інтернет', 'лагати', 'посеред'), ('лагати', 'посеред', 'онлайн'), ('посеред', 'онлайн', 'гра'), ('онлайн', 'гра', 'це'), ('гра', 'це', 'додавати'), ('це', 'додавати', 'азарт')]"
7,7,7,5322,"Моє захоплення знає межі, коли я дивлюсь, як ти цілу годину вибираєш фільтри для одного селфі.",openai,zeroshot,"моє захоплення знає межі, коли я дивлюсь, як ти цілу годину вибираєш фільтри для одного селфі.","['моє', 'захоплення', 'знає', 'межі', 'коли', 'я', 'дивлюсь', 'як', 'ти', 'цілу', 'годину', 'вибираєш', 'фільтри', 'для', 'одного', 'селфі']",16,1,"['мій', 'захоплення', 'знати', 'межа', 'коли', 'я', 'дивитися', 'як', 'ти', 'цілий', 'година', 'вибирати', 'фільтр', 'для', 'один', 'селфі']",[],"[('мій', 'захоплення'), ('захоплення', 'знати'), ('знати', 'межа'), ('межа', 'коли'), ('коли', 'я'), ('я', 'дивитися'), ('дивитися', 'як'), ('як', 'ти'), ('ти', 'цілий'), ('цілий', 'година'), ('година', 'вибирати'), ('вибирати', 'фільтр'), ('фільтр', 'для'), ('для', 'один'), ('один', 'селфі')]","[('мій', 'захоплення', 'знати'), ('захоплення', 'знати', 'межа'), ('знати', 'межа', 'коли'), ('межа', 'коли', 'я'), ('коли', 'я', 'дивитися'), ('я', 'дивитися', 'як'), ('дивитися', 'як', 'ти'), ('як', 'ти', 'цілий'), ('ти', 'цілий', 'година'), ('цілий', 'година', 'вибирати'), ('година', 'вибирати', 'фільтр'), ('вибирати', 'фільтр', 'для'), ('фільтр', 'для', 'один'), ('для', 'один', 'селфі')]"
8,8,8,5142,"Лекція, яка має тільки 10 слайдів, але затратила три години мого життя. Ефективно!",openai,zeroshot,"лекція, яка має тільки 10 слайдів, але затратила три години мого життя. ефективно!","['лекція', 'яка', 'має', 'тільки', 'слайдів', 'але', 'затратила', 'три', 'години', 'мого', 'життя', 'ефективно']",12,1,"['лекція', 'який', 'мати', 'тільки', 'слайд', 'але', 'затратити', 'три', 'година', 'мій', 'життя', 'ефективно']",[],"[('лекція', 'який'), ('який', 'мати'), ('мати', 'тільки'), ('тільки', 'слайд'), ('слайд', 'але'), ('але', 'затратити'), ('затратити', 'три'), ('три', 'година'), ('година', 'мій'), ('мій', 'життя'), ('життя', 'ефективно')]","[('лекція', 'який', 'мати'), ('який', 'мати', 'тільки'), ('мати', 'тільки', 'слайд'), ('тільки', 'слайд', 'але'), ('слайд', 'але', 'затратити'), ('але', 'затратити', 'три'), ('затратити', 'три', 'година'), ('три', 'година', 'мій'), ('година', 'мій', 'життя'), ('мій', 'життя', 'ефективно')]"
9,9,9,4970,"Шестеро людей в одному чаті, і всі мовчать. Таака захоплююча розмова!",openai,zeroshot,"шестеро людей в одному чаті, і всі мовчать. таака захоплююча розмова!","['шестеро', 'людей', 'в', 'одному', 'чаті', 'і', 'всі', 'мовчать', 'таака', 'захоплююча', 'розмова']",11,1,"['шестеро', 'людина', 'в', 'один', 'чато', 'і', 'весь', 'мовчати', 'таакий', 'захоплюючий', 'розмова']",[],"[('шестеро', 'людина'), ('людина', 'в'), ('в', 'один'), ('один', 'чато'), ('чато', 'і'), ('і', 'весь'), ('весь', 'мовчати'), ('мовчати', 'таакий'), ('таакий', 'захоплюючий'), ('захоплюючий', 'розмова')]","[('шестеро', 'людина', 'в'), ('людина', 'в', 'один'), ('в', 'один', 'чато'), ('один', 'чато', 'і'), ('чато', 'і', 'весь'), ('і', 'весь', 'мовчати'), ('весь', 'мовчати', 'таакий'), ('мовчати', 'таакий', 'захоплюючий'), ('таакий', 'захоплюючий', 'розмова')]"
